Test ID,Test Suite,Test Name,Description,Pre-conditions,Test Steps,Input Data,Expected Result,Expected Status,Priority
TC-001,Scheduler Trigger,Nightly schedule fires at configured cron,Verifies the scheduler triggers the sync flow at the configured nightly time,App deployed and running; sync.cron set to a near-future time for testing,"1. Set sync.cron to fire in 1 minute | 2. Start the app | 3. Wait for the trigger time | 4. Inspect logs","sync.cron=0 0 2 * * ?; timezone=Asia/Jerusalem","The landowner-sync-scheduler-flow starts once and logs START landowner-sync with a correlationId",N/A,High
TC-002,Scheduler Trigger,End-to-end happy path run,Verifies a full nightly run completes purge fetch enrich build and upsert in order,Rainbow returns current registrations with owners; Salesforce reachable,"1. Trigger the scheduler flow | 2. Allow the run to complete | 3. Review logs and Salesforce records","registrations=3; owners per registration=2","Run completes with END landowner-sync upserted=N deleted=M skipped=S and LandOwner__c records present in Salesforce",N/A,High
TC-003,Stale Record Purge,Delete records whose ToDate has passed,Verifies expired records with no lawyer are deleted at run start,Salesforce seeded with a LandOwner__c where ToDate__c is in the past and Lawyer__c is null,"1. Seed an expired record | 2. Trigger run | 3. Query Salesforce for the record","ToDate__c=2020-01-01; Lawyer__c=null","The expired record is deleted and deleteCount is incremented",N/A,High
TC-004,Stale Record Purge,Preserve records with empty ToDate,Verifies records with a null ToDate are never deleted,Salesforce seeded with a LandOwner__c where ToDate__c is null,"1. Seed record with null ToDate__c | 2. Trigger run | 3. Query Salesforce for the record","ToDate__c=null; Lawyer__c=null","The record remains in Salesforce and is not deleted",N/A,High
TC-005,Stale Record Purge,Preserve lawyer-managed expired records,Verifies expired records with a manually filled Lawyer are never deleted,Salesforce seeded with an expired LandOwner__c where Lawyer__c is populated,"1. Seed expired record with Lawyer__c set | 2. Trigger run | 3. Query Salesforce","ToDate__c=2020-01-01; Lawyer__c=003XXXXXXXXXXXX","The record is preserved because Lawyer__c is not null",N/A,High
TC-006,Stale Record Purge,No stale records present,Verifies the purge step is skipped cleanly when nothing matches,Salesforce contains no records matching the stale criteria,"1. Ensure no stale records exist | 2. Trigger run | 3. Inspect logs","stale matches=0","The choice guard skips delete deleteCount=0 and no error is raised",N/A,Medium
TC-007,Fetch Registrations,Fetch only current registrations,Verifies the filter retrieves only isCurrentRegistration eq true rows,Rainbow Analytics OData reachable with mixed current and non-current rows,"1. Trigger fetch-registrations-subflow | 2. Capture outbound request | 3. Inspect returned set","filter=isCurrentRegistration eq true","Rainbow Analytics receives GET /registrations with the current filter and only current registrations are returned",200,High
TC-008,Fetch Registrations,OData pagination follows nextLink,Verifies all pages are collected when results span multiple OData pages,Rainbow returns a response containing @odata.nextLink,"1. Configure Rainbow to return 2 pages | 2. Trigger fetch | 3. Count collected registrations","page1=100 rows; page2=40 rows","All 140 registrations are collected by following @odata.nextLink until exhausted",200,Medium
TC-009,Fetch Registrations,Registration field mapping,Verifies each registration is projected to the expected internal shape,Rainbow returns one registration with all fields,"1. Trigger fetch | 2. Inspect vars.registrations","registrationKey=818; buildingCode=7976; project_code=PRJ-1024; righttype=lease; plot=12","Each registration maps to registrationKey buildingCode propertyKey projectCode righttype and plot",N/A,Medium
TC-010,Fetch Owners,Fetch active owners for a registration,Verifies owners with null toDate are fetched for the current registration,Rainbow returns owners for the given registrationKey,"1. Trigger build subflow for registrationKey 818 | 2. Capture outbound request | 3. Inspect owners","registrationKey=818; filter=toDate eq null","Rainbow receives GET /owners filtered by toDate eq null and registrationKey eq 818 and active owners are returned",200,High
TC-011,Fetch Owners,Registration with zero owners is skipped,Verifies registrations that return no owners are filtered out,Rainbow returns an empty owners list for a registration,"1. Trigger build subflow | 2. Inspect result and logs","registrationKey=999; owners=[]","The subflow returns an empty list logs Skipping registrationKey=999 no owners and the registration is excluded from upsert",N/A,High
TC-012,Business Partner Enrichment,Enrich owner with business partner details,Verifies each owner is enriched via the businessPartners endpoint,Rainbow Operation OData reachable,"1. Trigger build subflow with one owner | 2. Capture outbound request | 3. Inspect built record","businessPartnerId=11","Rainbow Operation receives GET /businessPartners?$filter=id eq 11 and name idtype address and legal id are populated",200,Medium
TC-013,Record Building,Build flat LandOwner record,Verifies registration owner and partner are combined into a flat LandOwner__c,Valid registration owner and business partner data available,"1. Trigger build subflow | 2. Inspect produced record","owner.id=55021; name=Shikun Binui; idtype=HP; idNumber=520021171","A flat record is produced with External_Key__c=55021 Name Idtype__c IdNumber__c Address__c Essence__c and OwnershipPercent__c",N/A,High
TC-014,Record Building,Name truncated to 80 characters,Verifies the Name field is capped at 80 characters,Business partner name longer than 80 characters,"1. Provide a 100-char name | 2. Trigger build | 3. Inspect Name length","buisnesspartnername=<100 chars>","Name is truncated to the first 80 characters",N/A,Medium
